lat,lon,elv,distance
51.121409,-115.089927,1366.2,0.004799196787148595
51.121413,-115.08997,1366.6,0.00959839357429719
51.121426,-115.090005,1366.9,0.014397590361445785
51.121434,-115.090025,1367.1,0.01919678714859438
51.121474,-115.090105,1368.1,0.023995983935742975
51.121482,-115.090117,1368.2,0.02879518072289157
51.121521,-115.090155,1368.9,0.033594377510040165
51.121548,-115.090175,1369.3,0.03839357429718876
51.121592,-115.090224,1370.1,0.043192771084337354
51.121611,-115.090245,1370.4,0.04799196787148595
51.12163,-115.09033,1371.2,0.052791164658634544
51.121651,-115.090406,1371.9,0.05759036144578314
51.12168,-115.090451,1372.5,0.062389558232931734
51.121722,-115.090516,1373.4,0.06718875502008033
51.121771,-115.090559,1374.2,0.07198795180722892
51.121789,-115.090569,1374.4,0.07678714859437752
51.121815,-115.090623,1375.0,0.08158634538152612
51.121834,-115.090653,1375.4,0.08638554216867472
51.121859,-115.090661,1375.8,0.09118473895582332
51.121872,-115.090667,1376.0,0.09598393574297193
51.121964,-115.090699,1377.3,0.10078313253012053
51.121999,-115.090729,1377.9,0.10558232931726913
51.122033,-115.090762,1378.5,0.11038152610441773
51.122052,-115.090774,1378.8,0.11518072289156633
51.122075,-115.090784,1379.1,0.11997991967871494
51.122111,-115.090809,1379.7,0.12477911646586354
51.122158,-115.090839,1380.4,0.12957831325301214
51.122201,-115.090893,1381.2,0.13437751004016074
51.122232,-115.090906,1381.6,0.13917670682730934
51.122309,-115.090958,1382.8,0.14397590361445795
51.122345,-115.090962,1383.3,0.14877510040160655
51.122386,-115.091022,1384.1,0.15357429718875515
51.122428,-115.091051,1384.8,0.15837349397590375
51.122483,-115.091126,1385.8,0.16317269076305235
51.122497,-115.091156,1386.2,0.16797188755020095
51.122525,-115.091207,1386.8,0.17277108433734956
51.122536,-115.09123,1387.0,0.17757028112449816
51.122596,-115.091333,1388.3,0.18236947791164676
51.122609,-115.091371,1388.7,0.18716867469879536
51.122619,-115.091411,1389.1,0.19196787148594396
51.122642,-115.091519,1390.1,0.19676706827309257
51.122645,-115.091567,1390.5,0.20156626506024117
51.122655,-115.09164,1391.2,0.20636546184738977
51.12266,-115.091718,1391.9,0.21116465863453837
51.122676,-115.091741,1392.2,0.21596385542168697
51.122696,-115.091793,1392.7,0.22076305220883558
51.122705,-115.09185,1393.3,0.22556224899598418
51.122714,-115.091891,1393.7,0.23036144578313278
51.122733,-115.091959,1394.3,0.23516064257028138
51.122758,-115.092067,1395.4,0.23995983935742998
51.122766,-115.092148,1396.1,0.24475903614457858
51.122794,-115.092173,1396.5,0.2495582329317272
51.122802,-115.0922,1396.8,0.25435742971887576
51.122825,-115.092271,1397.5,0.25915662650602433
51.122836,-115.092321,1398.0,0.2639558232931729
51.122837,-115.092355,1398.3,0.2687550200803215
51.122822,-115.092421,1398.9,0.27355421686747006
51.122804,-115.092532,1400.0,0.27835341365461863
51.122805,-115.092587,1400.5,0.2831526104417672
51.122806,-115.09262,1400.8,0.2879518072289158
51.12281,-115.092678,1401.3,0.29275100401606435
51.122813,-115.092786,1402.3,0.2975502008032129
51.12281,-115.092821,1402.6,0.3023493975903615
51.122802,-115.092841,1402.8,0.3071485943775101
51.122794,-115.092916,1403.5,0.31194779116465865
51.122791,-115.092971,1404.0,0.3167469879518072
51.122787,-115.093024,1404.4,0.3215461847389558
51.122788,-115.09311,1405.2,0.32634538152610437
51.122792,-115.093155,1405.6,0.33114457831325295
51.122826,-115.093216,1406.3,0.3359437751004015
51.122848,-115.093277,1407.0,0.3407429718875501
51.12286,-115.093308,1407.3,0.34554216867469867
51.122873,-115.093321,1407.5,0.35034136546184724
51.122903,-115.09335,1408.0,0.3551405622489958
51.122942,-115.093432,1408.9,0.3599397590361444
51.122935,-115.093435,1409.1,0.36473895582329297
51.122985,-115.093549,1410.3,0.36953815261044154
51.123002,-115.093594,1410.8,0.3743373493975901
51.123015,-115.093605,1411.0,0.3791365461847387
51.123044,-115.093666,1411.7,0.38393574297188726
51.123064,-115.093737,1412.4,0.38873493975903584
51.12308,-115.093799,1413.0,0.3935341365461844
51.123115,-115.093842,1413.6,0.398333333333333
51.123137,-115.09394,1414.5,0.40313253012048156
51.123156,-115.093991,1415.1,0.40793172690763013
51.123185,-115.094068,1415.9,0.4127309236947787
51.123201,-115.094119,1416.4,0.4175301204819273
51.123205,-115.094135,1416.5,0.42232931726907585
51.123278,-115.094199,1417.7,0.42712851405622443
51.1233,-115.094231,1418.1,0.431927710843373
51.123315,-115.094243,1418.4,0.4367269076305216
51.123346,-115.094289,1419.0,0.44152610441767015
51.123378,-115.094307,1419.5,0.4463253012048187
51.123387,-115.094341,1419.8,0.4511244979919673
51.123415,-115.094347,1420.2,0.4559236947791159
51.123415,-115.094347,1420.2,0.46072289156626445
51.123468,-115.094332,1421.0,0.465522088353413
51.123436,-115.094338,1421.4,0.4703212851405616
51.123437,-115.09435,1421.5,0.47512048192771017
51.123434,-115.094364,1421.7,0.47991967871485874
51.123462,-115.094361,1422.1,0.4847188755020073
51.123469,-115.094372,1422.2,0.4895180722891559
51.123483,-115.094374,1422.4,0.49431726907630447
51.123504,-115.094389,1422.8,0.49911646586345304
51.123468,-115.094423,1423.4,0.5039156626506016
51.123463,-115.094423,1423.4,0.5087148594377502
51.123431,-115.094485,1424.1,0.5135140562248988
51.123486,-115.094539,1425.1,0.5183132530120473
