lat,lon,elv,distance
51.071213,-115.142941,1329.0,0.0006560449859418932
51.071212,-115.142965,1329.0,0.0013120899718837863
51.071217,-115.142976,1329.0,0.0019681349578256797
51.071223,-115.142988,1329.0,0.0026241799437675727
51.071228,-115.143,1329.0,0.0032802249297094657
51.071231,-115.142984,1329.0,0.003936269915651359
51.071236,-115.142983,1329.0,0.0045923149015932516
51.071239,-115.142984,1329.0,0.0052483598875351445
51.071241,-115.142994,1329.0,0.0059044048734770375
51.07122,-115.142994,1329.0,0.00656044985941893
51.071232,-115.143002,1329.0,0.007216494845360823
51.071237,-115.143,1329.0,0.007872539831302717
51.071257,-115.142995,1329.0,0.008528584817244611
51.071278,-115.142987,1329.1,0.009184629803186505
51.071283,-115.142989,1329.1,0.009840674789128399
51.071289,-115.142992,1329.1,0.010496719775070293
51.071294,-115.142995,1329.1,0.011152764761012186
51.071304,-115.143016,1329.2,0.01180880974695408
51.071313,-115.143019,1329.2,0.012464854732895974
51.07132,-115.143027,1329.2,0.013120899718837868
51.071321,-115.143028,1329.2,0.013776944704779762
51.071322,-115.143038,1329.3,0.014432989690721655
51.071327,-115.143041,1329.3,0.01508903467666355
51.071324,-115.143066,1329.3,0.01574507966260544
51.071329,-115.143056,1329.4,0.016401124648547333
51.071327,-115.143066,1329.4,0.017057169634489226
51.07133,-115.143072,1329.4,0.017713214620431118
51.071329,-115.143079,1329.4,0.01836925960637301
51.071338,-115.143081,1329.5,0.019025304592314902
51.071342,-115.143083,1329.5,0.019681349578256794
51.071347,-115.143081,1329.5,0.020337394564198686
51.071346,-115.143076,1329.5,0.020993439550140578
51.071333,-115.14307,1329.6,0.02164948453608247
51.071336,-115.143066,1329.6,0.022305529522024362
51.071339,-115.143064,1329.6,0.022961574507966254
51.071345,-115.143066,1329.7,0.023617619493908146
51.071349,-115.143064,1329.7,0.02427366447985004
51.071355,-115.143064,1329.7,0.02492970946579193
51.071357,-115.143065,1329.7,0.025585754451733823
51.071358,-115.143065,1329.7,0.026241799437675715
51.071366,-115.143076,1329.8,0.026897844423617607
51.071369,-115.143081,1329.8,0.0275538894095595
51.071374,-115.1431,1329.9,0.02820993439550139
51.071378,-115.143103,1329.9,0.028865979381443283
51.071383,-115.143116,1330.0,0.029522024367385175
51.071385,-115.143132,1330.1,0.030178069353327067
51.071388,-115.143146,1330.2,0.03083411433926896
51.071386,-115.143155,1330.2,0.031490159325210855
51.071387,-115.143172,1330.3,0.03214620431115275
51.07139,-115.143183,1330.4,0.03280224929709464
51.071398,-115.143192,1330.4,0.03345829428303653
51.071405,-115.143206,1330.5,0.03411433926897842
51.071407,-115.143204,1330.6,0.034770384254920315
51.071411,-115.143209,1330.6,0.03542642924086221
51.071419,-115.143201,1330.7,0.0360824742268041
51.071424,-115.143199,1330.8,0.03673851921274599
51.071432,-115.143203,1330.9,0.037394564198687884
51.071436,-115.143204,1331.0,0.038050609184629776
51.07144,-115.143203,1331.0,0.03870665417057167
51.071442,-115.143203,1331.0,0.03936269915651356
51.071455,-115.143204,1331.2,0.04001874414245545
51.071463,-115.143208,1331.4,0.040674789128397344
51.071471,-115.143215,1331.5,0.041330834114339236
51.071485,-115.143219,1331.7,0.04198687910028113
51.071498,-115.14322,1332.0,0.04264292408622302
51.071509,-115.143224,1332.2,0.04329896907216491
51.071522,-115.143238,1332.5,0.043955014058106805
51.071531,-115.143244,1332.7,0.0446110590440487
51.071543,-115.14325,1333.0,0.04526710402999059
51.071551,-115.143257,1333.2,0.04592314901593248
51.071565,-115.143264,1333.6,0.04657919400187437
51.071576,-115.143261,1333.8,0.047235238987816265
51.071588,-115.143265,1334.1,0.04789128397375816
51.071592,-115.143275,1334.3,0.04854732895970005
51.071597,-115.143279,1334.4,0.04920337394564194
51.071603,-115.143283,1334.5,0.049859418931583833
51.071609,-115.143286,1334.6,0.050515463917525726
51.071614,-115.14329,1334.7,0.05117150890346762
51.07162,-115.143293,1334.9,0.05182755388940951
51.071626,-115.143297,1335.0,0.0524835988753514
51.071636,-115.143302,1335.2,0.053139643861293294
51.07164,-115.143305,1335.3,0.053795688847235186
51.071646,-115.143312,1335.4,0.05445173383317708
51.071654,-115.143317,1335.6,0.05510777881911897
51.071662,-115.143321,1335.7,0.05576382380506086
51.071668,-115.143331,1335.8,0.056419868791002754
51.071678,-115.143339,1336.0,0.057075913776944646
51.071689,-115.143353,1336.2,0.05773195876288654
51.071699,-115.143374,1336.4,0.05838800374882843
51.071705,-115.143384,1336.5,0.05904404873477032
51.071709,-115.143399,1336.7,0.059700093720712215
51.071712,-115.143416,1336.8,0.06035613870665411
51.071713,-115.143422,1336.8,0.061012183692596
51.071714,-115.143436,1336.9,0.06166822867853789
51.071719,-115.143448,1337.0,0.06232427366447978
51.07172,-115.143463,1337.1,0.06298031865042168
51.071726,-115.143481,1337.2,0.06363636363636357
51.071728,-115.1435,1337.3,0.06429240862230547
51.071731,-115.143508,1337.4,0.06494845360824736
51.071738,-115.143523,1337.4,0.06560449859418925
51.071743,-115.143536,1337.5,0.06626054358013114
51.071753,-115.143543,1337.6,0.06691658856607303
51.071763,-115.143552,1337.6,0.06757263355201493
51.071772,-115.143557,1337.7,0.06822867853795682
51.071777,-115.143572,1337.7,0.06888472352389871
51.071783,-115.143581,1337.8,0.0695407685098406
51.071789,-115.143593,1337.8,0.0701968134957825
51.071792,-115.143607,1337.9,0.07085285848172439
51.071798,-115.143615,1337.9,0.07150890346766628
51.071801,-115.143623,1337.9,0.07216494845360817
51.071802,-115.143639,1337.9,0.07282099343955006
51.071805,-115.14365,1338.0,0.07347703842549196
51.071807,-115.143662,1338.0,0.07413308341143385
51.071808,-115.143672,1338.0,0.07478912839737574
51.071811,-115.143684,1338.0,0.07544517338331763
51.071812,-115.14369,1338.0,0.07610121836925952
51.071816,-115.143696,1338.0,0.07675726335520142
51.071826,-115.143706,1338.0,0.07741330834114331
51.071831,-115.143714,1338.0,0.0780693533270852
51.071835,-115.143723,1338.0,0.07872539831302709
51.07184,-115.143731,1338.0,0.07938144329896898
51.071844,-115.14374,1338.0,0.08003748828491088
51.07186,-115.143765,1337.9,0.08069353327085277
51.071865,-115.143773,1337.9,0.08134957825679466
51.07187,-115.143781,1337.9,0.08200562324273655
51.071876,-115.143793,1337.9,0.08266166822867844
51.071875,-115.143799,1337.9,0.08331771321462034
51.071881,-115.143799,1337.8,0.08397375820056223
51.071898,-115.143795,1337.7,0.08462980318650412
51.071911,-115.143803,1337.6,0.08528584817244601
51.071921,-115.143812,1337.5,0.0859418931583879
51.071926,-115.143819,1337.4,0.0865979381443298
51.071936,-115.143814,1337.3,0.08725398313027169
51.071947,-115.143818,1337.2,0.08791002811621358
51.071956,-115.143824,1337.1,0.08856607310215547
51.071961,-115.143832,1337.0,0.08922211808809737
51.071972,-115.143838,1336.8,0.08987816307403926
51.07198,-115.143848,1336.7,0.09053420805998115
51.071985,-115.143854,1336.6,0.09119025304592304
51.071987,-115.143843,1336.5,0.09184629803186493
51.071992,-115.143831,1336.4,0.09250234301780683
51.071997,-115.143834,1336.3,0.09315838800374872
51.072,-115.14384,1336.3,0.09381443298969061
51.072004,-115.14385,1336.2,0.0944704779756325
51.072014,-115.143862,1336.1,0.0951265229615744
51.072023,-115.143866,1336.0,0.09578256794751629
51.072034,-115.143876,1335.9,0.09643861293345818
51.072042,-115.143888,1335.8,0.09709465791940007
51.07204,-115.143889,1335.8,0.09775070290534196
51.072045,-115.143892,1335.7,0.09840674789128386
51.072052,-115.143902,1335.7,0.09906279287722575
51.07206,-115.143906,1335.7,0.09971883786316764
51.072066,-115.143915,1335.7,0.10037488284910953
51.072065,-115.143929,1335.6,0.10103092783505142
51.072071,-115.143949,1335.6,0.10168697282099332
51.072084,-115.143965,1335.7,0.10234301780693521
51.072096,-115.143973,1335.7,0.1029990627928771
51.0721,-115.143976,1335.7,0.10365510777881899
51.072103,-115.143982,1335.7,0.10431115276476088
51.072109,-115.144005,1335.9,0.10496719775070278
51.072109,-115.144025,1336.0,0.10562324273664467
51.072112,-115.144038,1336.0,0.10627928772258656
51.072115,-115.144045,1336.1,0.10693533270852845
51.072116,-115.14406,1336.2,0.10759137769447034
51.072126,-115.144077,1336.3,0.10824742268041224
51.07213,-115.144083,1336.4,0.10890346766635413
51.072141,-115.144091,1336.6,0.10955951265229602
51.072145,-115.144101,1336.7,0.11021555763823791
