area,crime,x,y,width,height,dx,dy
NE,12142,464.99493408203125,69.29000091552734,250.05511474609366,385.22308349609375,590.0224914550781,261.9015426635742
NW,8660,16.140022277832028,144.9232940673828,354.4100036621094,249.0820159912109,193.34502410888672,269.4643020629883
N,6538,209.9373321533203,29.940000534057607,346.502685546875,297.41998291015625,383.1886749267578,178.64999198913574
E,8974,517.9099731445311,426.6500244140625,197.17010498046875,201.80987548828125,616.4950256347655,527.5549621582031
SE,4462,487.4826354980469,561.1200561523439,227.6874084472656,415.0799560546875,601.3263397216797,768.6600341796876
W,4874,92.35841369628906,331.239990234375,251.4615631103516,268.21002197265625,218.08919525146484,465.3450012207031
SW,14159,276.8900146484375,548.7999877929689,340.5899658203125,443.4100341796875,447.18499755859375,770.5050048828126
C,20904,243.61996459960938,288.99981689453125,315.3200988769531,323.7999267578125,401.28001403808594,450.8997802734375
